city_development_index,experience,enrolled_university,relevent_experience,education_level,company_type,major_discipline,target
0.924,4,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.624,6,No enrollment,Has relevent experience,Masters,Early Stage Startup,STEM,1.0
0.6659999999999999,9,No enrollment,No relevent experience,Graduate,Pvt Ltd,No Major,0.0
0.624,9,Part time course,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.624,5,Full time course,No relevent experience,Masters,Other,STEM,1.0
0.624,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,19,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,1.0
0.5579999999999999,15,No enrollment,Has relevent experience,Graduate,Other,No Major,1.0
0.923,11,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.5579999999999999,4,No enrollment,No relevent experience,Graduate,Other,STEM,1.0
0.6659999999999999,10,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.794,5,No enrollment,No relevent experience,Graduate,Pvt Ltd,Humanities,0.0
0.924,3,No enrollment,Has relevent experience,Masters,Early Stage Startup,STEM,0.0
0.926,4,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.924,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.754,2,Full time course,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.624,2,Full time course,Has relevent experience,Graduate,Funded Startup,STEM,1.0
0.767,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,1.0
0.855,6,Part time course,Has relevent experience,Graduate,Other,STEM,0.0
0.939,6,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.8270000000000001,13,Other,Has relevent experience,Masters,Other,STEM,0.0
0.887,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,Humanities,0.0
0.55,3,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.865,10,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.855,4,No enrollment,No relevent experience,Masters,Pvt Ltd,Humanities,0.0
0.91,15,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.91,14,No enrollment,Has relevent experience,Masters,Public Sector,Humanities,0.0
0.698,2,Other,No relevent experience,Other,Pvt Ltd,Non Degree,1.0
0.6659999999999999,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.624,<1,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.8270000000000001,2,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.855,5,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.55,<1,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.92,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.893,5,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,3,No enrollment,No relevent experience,Graduate,Pvt Ltd,Humanities,0.0
0.855,9,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,2,No enrollment,Has relevent experience,Masters,Early Stage Startup,STEM,0.0
0.92,15,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,No relevent experience,Graduate,Other,STEM,0.0
0.92,5,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.7959999999999999,4,Part time course,Has relevent experience,Masters,Funded Startup,STEM,0.0
0.884,15,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.866,<1,Part time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,4,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.698,11,Full time course,No relevent experience,Masters,Public Sector,STEM,0.0
0.92,6,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.913,4,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.91,3,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.92,3,No enrollment,No relevent experience,Graduate,Pvt Ltd,Humanities,1.0
0.682,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,10,No enrollment,Has relevent experience,Graduate,NGO,STEM,0.0
0.802,9,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,2,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.579,2,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.802,6,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.55,6,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.55,8,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.878,>20,No enrollment,No relevent experience,Masters,Other,STEM,0.0
0.92,11,No enrollment,Has relevent experience,Graduate,NGO,STEM,0.0
0.92,5,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.91,12,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.939,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.897,9,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.624,2,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.91,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.754,>20,No enrollment,Has relevent experience,Graduate,Other,Other,0.0
0.855,8,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.926,10,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.949,4,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.624,2,Full time course,Has relevent experience,Graduate,NGO,STEM,0.0
0.926,6,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.925,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,3,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.698,7,Full time course,Has relevent experience,Graduate,NGO,STEM,0.0
0.8959999999999999,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,10,Part time course,Has relevent experience,Graduate,Funded Startup,Business Degree,0.0
0.624,11,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.91,>20,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,1.0
0.878,12,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,6,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.836,7,Full time course,Has relevent experience,Masters,Other,STEM,0.0
0.693,11,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.855,3,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,NGO,STEM,0.0
0.92,15,No enrollment,No relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,6,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.893,>20,No enrollment,No relevent experience,Phd,Public Sector,STEM,0.0
0.926,12,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.804,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.6659999999999999,20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.804,2,No enrollment,No relevent experience,High School,NGO,Non Degree,0.0
0.624,3,No enrollment,No relevent experience,Other,Other,Non Degree,0.0
0.92,3,No enrollment,No relevent experience,Masters,Pvt Ltd,Humanities,1.0
0.55,2,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.92,10,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.698,5,Full time course,No relevent experience,Masters,Other,STEM,1.0
0.624,8,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Other,0.0
0.92,9,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.866,>20,No enrollment,No relevent experience,Graduate,Other,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.926,>20,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.769,14,No enrollment,Has relevent experience,Graduate,Other,No Major,0.0
0.754,12,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.855,6,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,4,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.926,9,No enrollment,Has relevent experience,High School,Other,Non Degree,0.0
0.92,4,Full time course,Has relevent experience,High School,Other,Non Degree,1.0
0.92,>20,No enrollment,No relevent experience,Phd,Pvt Ltd,STEM,0.0
0.91,11,No enrollment,Has relevent experience,Other,Other,Non Degree,0.0
0.91,>20,No enrollment,Has relevent experience,Masters,NGO,Arts,0.0
0.624,6,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.91,15,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.925,14,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.926,6,No enrollment,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.92,13,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,17,No enrollment,Has relevent experience,Graduate,Pvt Ltd,No Major,0.0
0.939,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Other,0.0
0.804,6,No enrollment,No relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,18,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.92,15,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.698,>20,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Arts,0.0
0.754,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Public Sector,STEM,1.0
0.855,10,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.698,>20,Other,Has relevent experience,Other,Other,Non Degree,0.0
0.698,5,Part time course,Has relevent experience,Masters,Early Stage Startup,STEM,0.0
0.91,3,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.878,2,Part time course,Has relevent experience,High School,NGO,Non Degree,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.949,>20,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0
0.92,9,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0
0.7759999999999999,4,Full time course,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.698,5,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.924,6,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.939,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.926,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.897,4,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,10,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.789,14,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.698,15,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.92,12,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,2,Full time course,No relevent experience,Masters,Other,STEM,0.0
0.91,13,Full time course,No relevent experience,Masters,Other,STEM,1.0
0.923,1,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.91,4,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0
0.92,14,No enrollment,Has relevent experience,Graduate,Early Stage Startup,Humanities,0.0
0.92,15,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.893,>20,No enrollment,Has relevent experience,High School,Other,Non Degree,0.0
0.802,13,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.884,>20,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.887,9,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.624,2,No enrollment,No relevent experience,Graduate,Public Sector,STEM,0.0
0.775,7,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,5,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.903,3,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.55,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,2,No enrollment,Has relevent experience,Masters,Early Stage Startup,Humanities,0.0
0.92,>20,Full time course,Has relevent experience,Graduate,Other,Business Degree,1.0
0.92,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,Other,0.0
0.624,2,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.624,<1,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.555,4,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,3,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,4,No enrollment,No relevent experience,Primary School,Pvt Ltd,Non Degree,0.0
0.624,3,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0
0.754,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.624,3,No enrollment,No relevent experience,Other,Pvt Ltd,Non Degree,0.0
0.91,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,6,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.939,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.926,>20,Part time course,No relevent experience,Phd,Other,STEM,0.0
0.939,10,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.624,3,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.804,6,Other,No relevent experience,Masters,Pvt Ltd,STEM,0.0
0.91,2,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.92,>20,Part time course,Has relevent experience,Graduate,Public Sector,STEM,0.0
0.92,2,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,5,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.926,15,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.878,5,No enrollment,No relevent experience,Graduate,Other,STEM,0.0
0.727,9,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.91,2,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.92,13,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.754,9,Full time course,Has relevent experience,High School,Other,Non Degree,0.0
0.903,19,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.884,3,No enrollment,No relevent experience,Phd,Public Sector,STEM,0.0
0.903,17,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,7,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,6,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0
0.92,3,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.92,13,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.804,9,Full time course,Has relevent experience,High School,Other,Non Degree,0.0
0.926,>20,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.698,8,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.926,10,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.624,4,Full time course,Has relevent experience,Masters,NGO,STEM,0.0
0.92,6,Part time course,No relevent experience,High School,Funded Startup,Non Degree,0.0
0.92,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.91,15,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,NGO,STEM,0.0
0.624,6,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.624,7,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.92,3,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.893,2,No enrollment,No relevent experience,Graduate,Pvt Ltd,Business Degree,0.0
0.762,3,Part time course,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.836,14,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.6659999999999999,9,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.6659999999999999,>20,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.624,<1,Other,No relevent experience,Graduate,Other,STEM,1.0
0.897,15,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.926,11,No enrollment,Has relevent experience,Masters,Early Stage Startup,STEM,0.0
0.884,12,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,11,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.624,2,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.923,3,No enrollment,No relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,5,No enrollment,No relevent experience,High School,Other,Non Degree,1.0
0.92,14,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.91,5,No enrollment,No relevent experience,Primary School,Other,Non Degree,0.0
0.624,<1,No enrollment,No relevent experience,Graduate,Other,STEM,1.0
0.923,1,No enrollment,No relevent experience,Primary School,Pvt Ltd,Non Degree,0.0
0.92,5,Part time course,Has relevent experience,Graduate,Public Sector,STEM,0.0
0.91,>20,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,0.0
0.926,10,No enrollment,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.926,7,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.92,13,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.92,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,6,Full time course,Has relevent experience,Graduate,Other,STEM,0.0
0.949,4,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.939,7,No enrollment,Has relevent experience,Masters,Other,STEM,1.0
0.64,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,5,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.794,9,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.878,10,Part time course,No relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.516,9,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.878,<1,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.698,8,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.727,10,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.754,15,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.924,2,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.92,2,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.555,4,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.926,19,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.754,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.855,6,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.579,4,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.897,7,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.624,4,Full time course,No relevent experience,Other,Pvt Ltd,Non Degree,1.0
0.804,9,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,3,No enrollment,Has relevent experience,Masters,Public Sector,STEM,1.0
0.855,10,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.913,2,No enrollment,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.92,3,Full time course,No relevent experience,High School,Other,Non Degree,1.0
0.92,4,No enrollment,No relevent experience,High School,Other,Non Degree,1.0
0.923,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.913,2,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,Full time course,Has relevent experience,Graduate,Other,STEM,0.0
0.804,2,Part time course,Has relevent experience,Graduate,Other,STEM,1.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.926,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.743,11,Full time course,No relevent experience,Masters,Pvt Ltd,STEM,0.0
0.926,3,No enrollment,No relevent experience,Primary School,Other,Non Degree,0.0
0.92,4,No enrollment,No relevent experience,Primary School,Other,Non Degree,0.0
0.804,>20,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,0.0
0.92,2,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.92,18,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.804,16,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.92,18,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,15,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.698,15,Full time course,Has relevent experience,Masters,Other,STEM,0.0
0.92,20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.769,11,Part time course,Has relevent experience,Masters,Other,STEM,0.0
0.91,10,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.939,3,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,0.0
0.939,6,No enrollment,Has relevent experience,High School,Other,Non Degree,0.0
0.899,6,No enrollment,Has relevent experience,High School,Other,Non Degree,0.0
0.865,3,No enrollment,No relevent experience,Other,Other,Non Degree,0.0
0.855,9,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.92,14,No enrollment,Has relevent experience,Graduate,Pvt Ltd,No Major,0.0
0.698,9,Part time course,Has relevent experience,High School,Other,Non Degree,0.0
0.91,7,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.804,3,No enrollment,No relevent experience,Graduate,Other,STEM,1.0
0.913,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.855,14,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,11,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.897,3,Full time course,No relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.915,15,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.887,2,No enrollment,Has relevent experience,High School,Public Sector,Non Degree,0.0
0.91,2,Other,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.924,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,4,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.802,5,Full time course,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.6890000000000001,2,No enrollment,No relevent experience,Primary School,Other,Non Degree,0.0
0.698,3,Full time course,No relevent experience,Masters,NGO,STEM,1.0
0.92,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,14,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.698,3,No enrollment,No relevent experience,Primary School,Pvt Ltd,Non Degree,0.0
0.897,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
